Ruta,OperadOR,ac_type,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,summary,Año_colision,mes_colision,OperadOR Militar,OperadOR no Militar,crashed,failure,weather,other,nuevo_id
"Ocean, 800 miles east of Newfoundland",American International Airways,Boeing 314A,69,62,7,0,0,0,0,"The plane was 5,000 pounds over its certified weight and had to land at sea when it ran out of fuel in severe headwinds.  Over the next following 25 hours all occupants were rescued by the US Coast Guard ship Bibb using rafts and small boats and the plane was then sunk as a hazard to shipping.",1947,10,0,1,0,0,0,1,3824
"Off Cartegena, Spain",Societe Aerienne du Littoral,Bristol 170 Freighter I,43,39,4,41,38,4,0,Crashed into the sea following engine failure. The mechanic and a passenger survived.,1947,10,0,1,1,1,0,0,3823
"Sylva, North Carolina",Stratofreight,Douglas DC-3,3,1,2,3,1,2,0,The cargo plane struck a mountain en route.,1947,10,0,1,0,0,0,1,3822
"Bryce Canyon, Utah",United Air Lines,Douglas DC-6,53,48,5,53,48,5,0,"Fire was reported on board the aircraft before it crashed.  An almost identical accident with the same cause occurred on 11/11/47. The flight crew transferred fuel either intentionally or inadvertently from the No. 4 alternate tanks to the No. 3 alternate tanks and failed to stop the transfer process in time to avoid overflowing the No. 3 alternate tank. Gasoline flowed through the No. 3 alternate vent line, out the vent, and was carried back by the slip stream, entering the cabin heater combustion air intake scoop. When the cabin heater came on an explosion and fire  occurred. The fire was fueled by magnesium flares strored in the cabin heater compartment. Caused by a design flaw in the aircraft which allowed vented fuel to be carried back into the cabin heater air intake.",1947,10,0,1,1,0,0,0,3821
"Near Mt. Hymettus, Greece",AB Aerotransport,Douglas DC-4-1009,44,36,8,44,36,8,0,"The aircraft crashed into Mt. Hymettus while on approach to Hassani Airport in a severe rainstorm. The captain, John Douglas, probably tried to force the landing due to the weather conditions, when the belly of the aircraft hit the summit, resulting in loss of control, crash and fire. The pilot did not properly follow IFR procedures. The wreckage was found the next morning with the corpses of the victims plundered (the victim's pockets were found to be turned inside-out). The aircraft was named ""Sunnan.""",1947,10,0,1,1,0,1,0,3820
"Annette Island, Alaska",Pan American World Airways,Douglas DC-4A,18,13,5,18,13,5,0,The aircraft crashed into Tamgas Mountain after abandoning an approach to Annette Island because of extreme turbulence and radioing its intentions to proceed to Juneau. Possible severe turbulence or icing. Official cause unknown. The aircraft was named Clipper Talisman II.,1947,10,0,1,1,0,0,0,3819
"Near Srinagar, India",Military - Royal Indian Air Force,Douglas C-47B,25,22,3,25,22,3,0,Took off and went missing. The wreckage was located in June 1980 in the Pir Panjal hills near Srinagar.,1947,10,1,0,0,0,0,1,3818
"Off Barrio Rizal, Philippines",Philippine Air Express,Douglas DC-3,5,3,2,5,3,2,0,The cargo plane crashed into the ocean.,1947,11,0,1,1,0,0,0,3817
"Near Bouchox, France",Société Auxiliare de Navigation Aérienne,Junkers Ju-52/3m,2,0,2,2,0,2,0,The cargo plane struck a mountain en route.,1947,11,0,1,0,0,0,1,3816
"Newcastle, Delaware",Trans Continental and Western Air,Lockheed L-049-46-26 Constellation,5,0,5,5,0,5,0,"Crashed short of the runway and burst into flames. The inadvertent landing of the aircraft short of the runway. Inadequate air speed, improper use of power, and the adoption of an incorrect glide path.",1947,11,0,1,1,0,0,0,3815
"Ravello, Italy",Trafik-Turist-Transportflyg,Bristol 170 Freighter XI,25,21,4,20,16,4,0,"Strayed off course, stuck tree tops and then crashed into Mt. Santa Maria del Monte. Pilot's failure to realize the plane strayed off course and was in mountainous territory.",1947,11,0,1,1,1,0,0,3814
"Phouznicie, Romania",TARS,Lisunov Li-2,26,21,5,13,8,5,0,"Crashed and burned on 2,000 ft. Tabor Peak in fog. The crew became lost after radio failure.",1947,11,0,1,1,1,0,0,3813
"Yakutat, Alaska",Columbia Air Cargo,Douglas DC-3C,13,11,2,13,11,2,0,Crashed into trees while on approach to Yakutat. Failure to follow the approved instrument approach procedures while making an initial approach at an altitude insufficient to clear trees along the flight path.,1947,11,0,1,1,1,0,0,3812
"Montenegrin Mountains, Yugoslavia",JAT Yugoslav Airlines,Lisunov LI-2,22,19,3,22,19,3,0,The aircraft crashed and burned 2 miles from Titograd airport while attempting to land in a snowstorm.,1947,11,0,1,1,0,0,0,3811
"Near Trappa, Italy",Military - U.S. Air Force,Douglas C-47B,20,15,5,20,15,5,0,"Drifting 30 miles off the prescribed course, the aircraft crashed into snow covered mountains. The wreckage was discovered 8 months later.",1947,11,1,0,1,0,0,0,3810
"Seattle, Washington",Alaska Airlines,Douglas C-54A,28,25,3,8,7,1,1,"The plane attempted to land at Seattle-Tacoma Airport  but aborted the landing because of low ceiling and visibility. During a second landing attempt, the aircraft touched down 2,748 feet beyond the approach end of Runway 20, ran past the end of the runway, hit an automobile killing one person, crashed into a ditch and burst into flames. Caused by the landing of the airplane too far from the approach end of a wet runway and at a speed too great to accomplish a full stop on the runway.",1947,11,0,1,1,0,0,0,3809
"Near Goose Bay, Labrador",Military - U.S. Air Force,Douglas C-54D-DC (DC-4),29,25,4,23,22,1,0,The aircraft crashed and burned in a wooded area shortly after taking off from Goose Bay. Snow falling at the time of the accident was a factor.,1947,12,1,0,1,0,0,0,3808
"Near Memphis, Tennessee",Military - U.S. Air Force,Douglas C-47-DK,20,16,4,20,16,4,0,"After preparing to land, the aircraft went into a right-hand spiral and crashed  for reasons unknown.",1947,12,1,0,1,0,0,0,3807
"Krasnoyarsk, Russia",Aeroflot,Ilyushin IL-12,25,20,5,9,3,4,0,Crash landed due to engine failure after an attempted go-around.,1947,12,0,1,0,1,0,0,3806
"Korangi Creek, India",Air India,Douglas DC-3 (C-47),23,19,4,23,19,4,0,"The aircraft lost control and crashed just after taking off. The captain losing control in conditions of poor visibility, resulted in the aircraft flying into the ground. The loss of control was most likely caused by  inadequate illumination of the flying instruments due to faults in the lighting system.  Decision to take off in poor weather conditions and faulty lighting system.",1947,12,0,1,1,0,1,0,3805
"Leon, Mexico",Servicio Aéreo Panini,Douglas DC-2-172,10,7,3,5,3,2,3,Crashed near the Leon public square and destroyed 3 homes. Lost an engine while taking off. Attempting to return to the airport.,1947,12,0,1,1,0,0,0,3804
"Paris, France",Air France,Douglas DC-3D,16,11,5,16,11,5,0,Crashed into trees a few hundred yards away from the runway while attempting to land at Le Bourget Airport. Both weather and pilot error were considered as causative factors in the accident.,1948,1,0,1,1,0,1,0,3803
"Ruislip, England",British European Airways,Vickers 610 Viking 1B,18,14,4,1,0,1,0,"After two or three failed approaches, the plane struck trees and crashed into a field. Poor judgment on the part of the pilot attempting to land in VFR conditions in limited visibility and poor weather conditions and not diverting to another airport.",1948,1,0,1,1,0,1,0,3802
"Near Savannah, Georgia",Coastal Air Lines,Douglas DC-3,27,25,2,18,17,1,0,"After both engines stopped in flight and attempts to restart them failed, the aircraft banked sharply, stalled and crashed 10 miles east northeast of Savannah. The fuel selector valves were positioned so that both engines were supplied fuel from only one of the auxilliary tanks until the fuel was exhausted and control of the plane was lost.",1948,1,0,1,1,0,0,0,3801
"Near Palestro, Algeria",Transport Comp. Algerienne de T.A.,Douglas DC-3,9,7,2,9,7,2,0,Crashed into a mountainside 50 miles south of Algiers after an engine failed.,1948,1,0,1,1,0,0,0,3800
"Ciudad Havajillo, Dominican Republic",Dominicana,Douglas DC-3,32,29,3,32,29,3,0,Crashed in mountainous terrain about 15 miles north northwest of Santo Domingo. Unable to land in darkness and unlighted airport of its intended destination the plane turned back when it struck the mountain. Weather and navigational error were considered factors in the accident.,1948,1,0,1,1,0,1,0,3799
"Oxon Hill, Maryland",Eastern Air Lines,Douglas DC-3-201F,9,6,3,5,3,2,0,"The aircraft crashed during approach, 5.2 miles short of the runway, in poor weather conditions. Failure of the crew to follow prescribed  procedures and maintain a safe altitude during an ILS approach.",1948,1,0,1,1,1,1,0,3798
"Near Mukden, China",China National Aviation Corporation,Curtiss C-46,54,51,3,11,11,0,0,"The heavily loaded plane rose 50 ft. into the air, nosed down and crashed in a snowstorm",1948,1,0,1,1,0,0,0,3797
"Diablo Mts., California",Airline Transport Carriers,Douglas DC-3 (C-47B-DK),32,29,3,32,29,3,0,"The crew took the wrong plane which was scheduled for maintenance.  An in-flight fire caused the engine and then wing to separate from the aircraft and crash out of control. Tests showed a fuel pump was broken in the left engine and would spray gasoline out where it could be ignited by the exhaust. The failure of the left wing in flight as a result of damage by fire which had its source in a defective left engine driven fuel pump.The crash became the impetus for the Woody Guthrie song ""Deportee.""",1948,1,0,1,0,1,0,0,3796
"Atlantic Ocean, NE of Bermuda",British South American Airways,Avro 688 Tudor I,31,25,6,31,25,6,0,"The aircraft ran out of fuel and crashed into the Atlantic Ocean, 340 miles from Bermuda, after running into strong headwinds and being blown off course while flying the leg from  the Azores to Bermuda. Official cause unknown. The aircraft was named ""Star Tiger.""",1948,1,0,1,1,0,0,0,3795
"Off Jacksonville, Florida",Eastern Air Lines,Lockheed L-649 Constellation,69,63,6,1,0,1,0,The No. 3 propeller failed and penetrated the fuselage killing a purser.The failure of a propeller blade due to high stresses induced by accumulative engine malfunctioning.,1948,2,0,1,0,1,0,0,3794
"Near Padalarang, Indonesia",KLM Royal Dutch Airlines,Douglas DC-3,19,15,4,19,15,4,0,Crashed and burned on the island of Java. The crew reported they lost an engine. While trying to return the plane crashed and exploded.,1948,2,0,1,1,0,0,0,3793
"Ubrichstein, Germany",Det Danske Luftfartselskab,Douglas DC-3,21,17,4,12,8,4,0,"In marginal weather conditions, the crew informed ground that an engine failed and was forced to make an emergency landing as they were unable to maintain a safe altitude. The aircraft crash landed in a field located in Ulrichstein, about 70 km northeast of Frankfurt Airport.",1948,2,0,1,0,0,1,0,3792
"Collesalvetti,  Italy",Società Aerea Teseo,Douglas C-47-DL,10,7,3,7,4,3,0,"The pilot chose to fly the short distance between Florence and  Rome below the cloud base. The weather suddenly became worse and the plane entered clouds at low level, drifted off course and struck a hill.",1948,2,0,1,0,0,1,0,3791
"Off St. Marcouf, France",Latecoere Airlines,Latecoere 631 (flying boat),14,7,7,14,7,7,0,"The aircraft was seen at Ste. Mere l'Eglise where it passed very low in poor weather and snow showers before crashing into the English Channel, 50 miles west of La Harvre. It had turned back after encountering adverse weather conditions.",1948,2,0,1,0,0,1,0,3790
"Davao, Philippines",Commercial Airways,Douglas DC-3,12,9,3,12,9,3,0,Crashed  5 minutes after taking off from Mati.,1948,2,0,1,1,0,0,0,3789
"Columbus, Ohio",Bruning Aviation,Douglas C-47A,2,0,2,2,0,2,0,The cargo plane struck trees while attempting to land.The continuation of an instrument approach below an altitude sufficient to clear the terrain en route.,1948,2,0,1,0,0,0,1,3788
"Near Belem, Brazil",Military - Brazilian Air Force,Douglas C-47,26,20,6,23,17,6,0,"The plane, carrying Brazilian service personnel and their dependents crashed and burned after stalling short of the runway while attempting to land.",1948,2,1,0,1,0,0,0,3787
"Off Perpignan, France",Société de Transports Aériens,Junkers Ju-52/3m,4,0,4,4,0,4,0,The cargo flight crashed into the Gulf of Lion,1948,3,0,1,1,0,0,0,3786
"Heathrow Airport, London, England",Sabena,Douglas DC-3,22,19,3,20,17,3,0,The plane crashed during a ground control approach in poor weather conditions. Misjudgement by the pilot when attempting to land at night in conditions of low visibility. Last DC-3 built.,1948,3,0,1,1,0,1,0,3785
"Near Skalafell, Iceland",Loftleidir Icelandic Airlines,Avro Anson,4,2,2,4,2,2,0,Crashed into a slope of Mt Skalafell located near Hellisheioi in poor weather condtions.,1948,3,0,1,1,0,1,0,3784
"Chicago, Illinois",Delta Air Lines,Douglas DC-4,13,9,4,12,8,4,0,"During takeoff, the aircraft went into a near vertical climb to an altitude of 500 - 800 feet, stalled and crashed.  Loss of longitudinal control of the airplane for reasons undetermined.",1948,3,0,1,1,0,0,0,3783
"Mt. Sanford, Alaska",Northwest Orient Airlines,Douglas DC-4 (C-54G-1-DO),30,24,6,30,24,6,0,"On a charter flight from Lunghwa Airport, Shanghai to La Guardia Airport, New York the plane crashed into the western slope of Mt. Sanford at an altitude of 11,000 feet after taking off from Anchorage, Alaska. Pilot's failure to see Mt. Sanford due to obscuring clouds or aurora borealis while flying a course off the airway.",1948,3,0,1,1,1,0,0,3782
"Sierra Cristais, Brazil",Cruzeiro,Douglas DC-3,6,3,3,6,3,3,0,Struck a mountain peak in the Sierra Cristais.,1948,3,0,1,0,0,0,1,3781
"Villa Pinzon, Colombia",Agencia Interamericana de Aviada,Douglas DC-3 (C47-DL),14,10,4,14,10,4,0,Crashed into the slope of Alto El Arrastradero mountain located 50 miles from Bogota.,1948,3,0,1,1,0,0,0,3780
"Monte Cardo, Corsica, France",Indian National Airlines,Vickers 604 Viking 1B,19,15,4,19,15,4,0,"Crashed into a 7,800 ft. mountain obscured by clouds while en route.",1948,3,0,1,1,0,0,0,3779
"Near Berlin, Germany",British European Airways / Military - Soviet Air Force,Vickers Viking 1B & Soviet YAK-3 fighter,14,10,4,14,10,4,0,"The aircraft was circling Gatow in preparation for landing when the DC-3 collided head on with the Russian Air Force Yakovlev 3 fighter, which was performing aerobatics. A total of 14 killed on the Vickers Viking and one on the YAK fighter. The collision was caused by the action of the Yak fighter's pilot, which was in disregard of the accepted rules of flying.",1948,4,1,0,0,0,0,1,3778
"Kano, Nigeria",Air France,Douglas DC-4,6,0,6,1,0,1,0,"Following the failure of the starter on engine number one, the crew was unable to restart this engine and received the authorization to perform an empty leg back to Paris for maintenance purposes. During the takeoff roll in Kano Airport, the aircraft went out of control and veered off runway before colliding with a BOAC technical hangar. A crew member was killed while five others were injured. The crew failed to follow the pre-flight checklist and did not realized the nose wheel was not configured for the takeoff procedure.",1948,4,0,1,0,1,0,0,3777
"Shannon, Ireland",Pan American World Airways,Lockheed L-049-46 Constellation,31,21,10,30,20,10,0,"While executing a second instrument approach at Shannon Airport, the aircraft struck the ground 2,380 feet from the approach end of the intended runway, broke apart and burned. Continuation of an instrument approach to an altitude insufficient to clear the terrain. The failure of a fluorescent light may have been a contributing cause. The plane was named ""Clipper Empress of the Skies.""",1948,4,0,1,0,1,0,0,3776
Territory of New Guinea,New Guinea Air Traders,Lockheed Hudson IIIA,37,33,4,37,33,4,0,"The aircraft climbed to 500 ft. when its left engine failed, whereupon the plane plunged nose first into the ground on an island on the Markham River. Poor technique by the pilot during an emergency situation.",1948,4,0,1,0,0,0,1,3775
Near Irkutsk Russia,Aeroflot,Lisnov Li-2,29,25,4,28,24,4,0,"Crashed in an icy river, 20 miles from its destination. The flight crew who had been drinking the previous night, diverted from the correct route and had been flying at an altitude of about 300 ft. when they crashed.",1948,4,0,1,1,0,0,0,3774
"Mount Coron, France",Skyways of London,de Havilland Dove 1,4,2,2,4,2,2,0,"The aircraft crashed in a storm.  Kathleen Kennedy Cavendish, 28, sister of  President John F. Kennedy, killed.",1948,5,0,1,1,0,0,0,3773
"Near Magazini, Belgian Congo (Zaire)",Sabena,Douglas DC-4-1009,32,25,7,31,24,7,0,"While cruising, the aircraft penetrated a very turbulent line of clouds, lost height and crashed into a forest. The aircraft apparently flew into a tornado at low altitude.",1948,5,0,1,1,0,0,0,3772
"Vrede, South Africa",Mercury Aviation,Douglas DC-3-455,13,8,5,13,8,5,0,"Crashed into Spitzkop mountain after drifting off course in poor weather. The aircraft was named ""Miss France.""",1948,5,0,1,1,0,1,0,3771
"Columbus, Ohio",Slick Airways,Curtiss C-46E,2,0,2,2,0,2,0,"Cargo flight. The in-flight failure of the fuselage carry-in structure beneath the fin, due to extreme turbulence.",1948,5,0,1,0,1,0,0,3770
"Near Bovingdon, England",Air Transport Charter,Douglas C-47A,4,0,4,3,0,3,0,"Cargo flight. While maneuvering at night under the base of low cloud prepatory to landing, the aircraft lost height and struck the ground. The cause of the accident was not determined.",1948,5,0,1,0,0,0,1,3769
"Khabarovsk, Russia",Aeroflot,Douglas C-47,9,5,4,8,4,4,0,"The aircraft collided with the western slope of  Marchekanskoy  hill, 70 m from the top. ATC error.",1948,5,0,1,0,0,0,1,3768
"Albacete, Spain",Alpha Airways,Handley Page Halifax C-8,4,0,4,4,0,4,1,Crashed on takeoff during a training flight after hitting a private aircraft.,1948,5,0,1,1,0,0,0,3767
Isle of Man,Hargreaves Airways,de Havilland DH-89A Dragon Rapide,8,7,1,6,5,1,0,Crashed into a hill near Port Erin while attempting to land. The plane had failed to maintain both the proper course to the homing beacon and suffiecient altitude to clear the terrain.,1948,6,0,1,1,0,0,0,3766
"Mount Carmel, Pennsylvania",United Air Lines,Douglas DC-6,43,39,4,43,39,4,0,"The plane crashed after an in-flight fire in cargo hold. The crew discharged carbon dioxide extinguishers into the cargo hold in response to the fire warning. When the plane's nose was lowered for an emergency descent, the carbon dioxide, being heavier than air, accumulated in the cockpit and asphyxiated the crew.  The aircraft crashed through high voltage lines and exploded on a hillside. After the crashes of 10/24/47 and 11/11/47, were a design flaw allowed vented fuel to enter the intake for the cabin heating system, the CAA also ordered carbon dioxide extinguishers installed. Earl Carroll,  U.S. theatrical impresario killed. Douglas aircraft company knew of the carbon dioxide danger after two of its test pilots were almost overcome during test flights. They suppressed reports to the CAA which resulted in only a warning being added to the flight manual. The aircraft was named Mainliner Utah.",1948,6,0,1,1,0,0,0,3765
"Over the Pearl River, China",Cathy Pacific,PBY Catalina,26,23,3,25,22,3,0,"A Catalina seaplane was hijacked by a group attempting to rob the passengers; following a struggle in the cockpit, the plane crashed killing all on board except one passenger who was later identified as the lead hijacker. This is the earliest known airliner hijacking.",1948,6,0,1,1,0,0,0,3764
"Maiquetia, Venezuela",Linea Aeropostal Venezolana,Douglas DC-3,17,14,3,1,0,1,0,Crashed during a landing attempt.,1948,6,0,1,1,0,0,0,3763
"Keerbergen, Belgium",Avio Linee Italiane,Fiat G.212CP,12,7,5,8,4,4,0,Crashed after overrunning the runway in heavy rain.,1948,7,0,1,1,0,0,0,3762
"Northolt, Middlesex, England",Scandinavian Airlines (SAS),Douglas DC-6 / RAF York,39,26,13,39,26,13,0,"A midair collision occurred between a SAS DC-6 and a Royal Air Force Avro York MW248. Twenty-five passengers and 7 crew on the DC-6,  one passenger and six crew on the York. The accident was caused by human fallibility on the part of both ground and flilght personnel.",1948,7,0,1,0,0,0,1,3761
"Djiring, French Indo-China",Aigle Azur,Douglas DC-3,16,13,3,16,13,3,0,Crashed into mountains 50 miles southwest of Da Lat in adverse meteriological conditions and absence of adequate ground facililities.,1948,7,0,1,1,0,0,0,3760
"Belem, Brazil",Aerovias Brasil,Douglas C-47A,5,2,3,5,2,3,0,The cargo plane lost control and crashed shortly after leaving the runway. The pilot did not apply the procedure recommended by the airline and attempted to make a turn after takeoff below the specified altitude of 100 meters.,1948,7,0,1,1,0,0,0,3759
Pacific Ocean between Hong Kong and Macao,Cathay Pacific Airways,Consolidated OA-10 Catalina,26,23,3,25,22,3,0,"The plane crashed after being hijacked. While trying to take control of the aircraft, one of the passengers tried to stop the hijackers, In response, one of the hijackers shot wildly striking and killing both pilots The plane went out of control and crashed. One of the hijackers survived by jumping out of the rear exit before the plane hit the water.  He was held in Macao prison for three years and released in 1951.First commercial aircraft to be hijacked.",1948,7,0,1,1,0,0,0,3758
"Cap-des-Rosiers, Quebec, Canada",Rimouski Airlines,Douglas DC-3,29,27,2,29,27,2,0,"The aircraft hit a mountain top at Cap-des-Rosiers, 12 miles from its destination in fog and burned.",1948,7,0,1,0,0,0,1,3757
"Buenos Aires, Argentina",ALFA,Short Sandringham 2 (flying boat),24,18,6,18,16,2,0,Crashed and sank near the shore of the River Plate while attempting to land in fog. Pilot error. Attempting to land atop water in conditions of fog and poor visibility which were below the prescribed minima.,1948,7,0,1,1,0,0,0,3756
"Tsingtao, China",Civil Air Transport,Curtiss C-46D-20-CU,19,16,3,19,16,3,0,Crashed while attempting to take off. Went into a spin after taking off and plunged into the ground from about 300 ft.,1948,7,0,1,1,0,0,0,3755
"Karachi, Pakistan",Onzeair,Avro 691 Lancastrian (flying boat),4,0,4,4,0,4,0,"Cargo flight. An error in judgement on the part of the pilot in allowing the aircraft to stall while coming in to land. The contributory causes were probably overload, badly loaded with CG too far aft, movement of load due to it not being secured.",1948,8,0,1,0,0,0,1,3754
"1,200 miles off Dakar, Atlantic Ocean",Air France,Latecoere 631 (flying boat),52,40,12,52,40,12,0,"Disappeared in the Atlantic on a flight from Fort. de France, Martinique to Port Etienne, Mauritania. The United States Coast Guard cutter Campbell reported finding debris on August 4 with no survivors.",1948,8,0,1,0,0,0,1,3753
"Port Underwood, New Zealand",New Zealand National Airways,Douglas C-47B,2,0,2,2,0,2,0,"The cargo fllight hit the slope of a mountain located in Rununder Point, near Port Underwood, 32 km northeast of Blenheim in poor weather.",1948,8,0,1,0,0,1,0,3752
"La Guaira, Venezuela",Avensa,Douglas C-47A,3,0,3,3,0,3,0,The cargo plane disappeared en route  over the Caribbean Sea.,1948,8,0,1,0,0,0,1,3751
"Near Winona, Minnesota",Northwest Orient Airlines,Martin 202,37,33,4,37,33,4,0,"Crashed following the separation of the left wing after the aircraft entered a thunderstorm. Loss of the outer panel of the left wing which separated as a result of a fatigue crack which was induced by a faulty design of a wing flange, aggravated by severe turbulence of the thunderstorm.",1948,8,0,1,1,0,0,0,3750
"Near Elizabethville, Belgium Congo",Sabena,Douglas DC-3 (Douglas C-47A-10-DK),13,10,3,13,10,3,0,Crashed en route. Reasons undetermined.,1948,8,0,1,1,0,0,0,3749
"Near Quirindi, Australia",Australian National Airways,Douglas DC-3,13,10,3,13,10,3,0,"Strayed off course and struck Square Peak Mountain at an altitude of 4,600 feet.",1948,9,0,1,0,0,0,1,3748
"Balkhash, Kazakhstan",Aeroflot,Lisunov LI-2,15,11,4,15,11,4,0,"A few minutes after takeoff, while climbing, the aircraft flew into clouds and control was lost. The aircraft banked right and lost altitude crashing in an isolated area located about 39 km northwest of Balkhash",1948,9,0,1,0,0,0,1,3747
"Near Trondheim, Norway",Norwegian Airlines,Short Sandringham 6 (flying boat),45,38,7,19,16,3,0,Crashed in Hommelvika Bay  while attempting to land in crosswinds and high seas.,1948,10,0,1,1,0,0,0,3746
"Near Yevlakh, Azerbaijan, USSR",Aeroflot,Ilyushin Il12,10,4,6,10,4,6,0,"Crashed after turning back towards its point of departure afer encounteing low clouds, rain and icing conditions as well as poor navigational difficulties due to poor reception of radio beacons.",1948,10,0,1,1,0,0,0,3745
"Prestwick Airport, Scotland",KLM Royal Dutch Airlines,Lockheed 049-46-25 Constellation,40,30,10,40,30,10,0,"The aircraft was on a flight from Amsterdam to New York with a stopover at Prestwick Scotland. The aircraft attempted to land on Runway 32 but the crew choose to go-around due to strong cross winds and asked to land on Runway 26.  While circling to line up with the runway, the aircraft ran into a heavy fog bank and crashed into high voltage power lines at an elevation of 400 feet and burst into flames. The crashed occurred 5 miles east-northeast of the airport. Improper flight procedures by the crew. Lack of information supplied to the crew by the tower. The aircraft was named ""Nijmegen"" after the old Dutch town close to the West German border.",1948,10,0,1,1,0,0,0,3744
"Mt. Ruapehu, New Zealand",New Zealand National Airways,Lockheed 10A Electra,13,10,3,13,10,3,0,Crashed 700 feet from the summit of a mountain while en route in low visibility. Lack of navigational aids in the area contributed to the accident cause.,1948,10,0,1,1,0,0,0,3743
"Georgian SSR, USSR",Aerflot,Lisunov Li-2,18,14,4,18,14,4,0,Crashed in the Caucasus Mountains in adverse weather while en route. The crew deviated from its prescribed course. Poor flight planning. Crew drank alcohol before the flight.,1948,10,0,1,1,0,1,0,3742
"Near Edmonton, Alberta, Canada",Northwest Orient Airlines,Douglas C-54A,5,0,5,2,0,2,0,Cargo flight. The captain's action in undertaking simulated emergency procedures at a dangerously low altitude.,1948,10,0,1,0,0,0,1,3741
"Near Glossop, England",Military - U.S. Air Force,Boeing B-29A Superfortress,13,0,13,13,0,13,0,"Twenty-five minutes into the flight, the pilot descended prematurely and collided with a cloud covered mountain.",1948,11,1,0,0,0,0,1,3740
"Cape Spencer, Alaska",Pacific Alaska Air Freight,Douglas DC-3,17,15,2,17,15,2,0,Lost contact with the aircraft after the crew reported passing Cape Spencer. The wreckage was never found.  Cause undetermined.,1948,11,0,1,0,0,0,1,3739
"Mt. Macedon, Australia",Australian National Airways,Douglas DC-3,23,19,4,3,0,3,0,Crashed into Mt. Macedon hidden in fog. The pilot deviated off course from his flight plan and failed to follow VFR flight rules.,1948,11,0,1,1,0,0,0,3738
"Liverpool, England",Mannin Airways,de Havilland DH-89A Dragon Rapide,8,6,2,7,5,2,0,Crashed after running out of fuel when diverted to Liverpool because of adverse weather.,1948,11,0,1,1,0,1,0,3737
"Vehari, Pakistan",Pakistan Airways,Douglas DC-3,21,16,5,21,16,5,0,"The plane crashed shortly after taking off and climbing to 7,000 feet. The aircraft was seen trailing smoke before crashing in flames. The omission of a sealing washer on the carburetor fuel filter of the port engine resulting in fuel leaking on to the ignition systems, culminating in a severe oil fire which finally involved the main port fuel tanks.",1948,11,0,1,1,0,0,0,3736
"Kiangwan, China",Central Air Transport,Curtiss C-46,40,37,3,9,7,2,0,"Overshot runway, crashed and burned.",1948,12,0,1,1,0,0,0,3735
"Milan, Italy","Avio Linee Italiane
Avio Linee Italiane",Douglas C-47,7,6,1,7,6,1,0,The aircraft crashed during takeoff in fog.,1948,12,0,1,1,0,0,0,3734
"Taipei, Taiwan",China National Aviation Corporation,Douglas DC-3,10,8,2,2,0,2,0,Crashed while attempting to land.,1948,12,0,1,1,0,0,0,3733
"Near Bogata, Colombia",LANSA,Douglas C-47,30,27,3,30,27,3,0,Crashed shortly after taking off from Bogota. Possible accidental detonation of fire works being carried aboard leading to the in-flight separation of the wing.,1948,12,0,1,1,0,0,0,3732
"Near Pilos, Greece",Ceskoslovenske Aerolinie,Douglas DC-3,24,19,5,24,19,5,0,Crashed in the Taigetos Mountains while en route after being shot down by Greek insurgents.,1948,12,0,1,1,0,0,0,3731
"Basalt Island, Hong Kong",China National Aviation Corporation,Douglas C-54B-5-DO,33,29,4,33,29,4,0,"Crashed on Balsalt Island  while attempting a visual approach through clouds. The pilot came down through a hole in the overcast but became trapped when the weather closed in. He reversed course but crashed into a small mountain. Pilot error. Quentin Roosevelt, son of Teddy Roosevelt killed.",1948,12,0,1,1,0,1,0,3730
"Near Madrid, Spain",Iberia Airlines,Douglas DC-3 (C-47-DL),27,24,3,27,24,3,0,Crashed into Pandols Mountain while en route in poor weather conditions.,1948,12,0,1,1,0,1,0,3729
"Off San Juan, Puerto Rico",Airborne Transport,Douglas DC-3DST,32,29,3,32,29,3,0,Radio contact was lost after the crew reported being 50 nm south of Miami. Departure from San Juan with known electrical problems and discharged batteries. Ditched in the Gulf of Mexico after it ran out of fuel. Offical cause unknown.,1948,12,0,1,0,0,0,1,3728
"Mt. Argentari, Italy",Pan African Air Charter,Douglas DC-3,13,8,5,13,8,5,0,Crashed into Mt. Arbetello in poor visibility. Poor visibility and geographical features made recognition of terrain difficult and likely mislead the pilot into believing he was out at sea.,1948,12,0,1,1,0,0,0,3727
"Seattle, Washington",Seattle Air Charter,Douglas DC-3 (C-47A-DL),30,27,3,14,11,3,0,"The aircraft took off in fog with a group of Yale University students returning to school following their Christmas vacation.  About midway down the runway the plane swerved to the left and became airborne.  The left wing dropped the wing tip dragged on the runway.  After about 750 feet, the tail wheel made contact with the runway.  The engines were cut and the plane skidded for 700 feet until it hit a hanger and burst into flames.  The accident was caused by the crew's attempt to take off in an airplane which had formations of ice and frost on the surfaces of the wings.  In addition, the plane was overloaded by 1,500 lbs.",1949,1,0,1,0,0,0,1,3726
"Caravelas Bay, Brazil",British South American Airways,Avro 685 York 1,17,11,6,3,3,0,0,"A blown tire during takeoff led to damage to the landing gear, engine and oil line. Lack of oil caused loss of the engine and the crew was not able to feather the prop. This led to overspeeding and an engine fire. The plane made a spiral descent and crashed to the ground.",1949,1,0,1,1,0,0,0,3725
